Firstname          ,Lastname        ,SessionDate ,TimeRange     ,Participant ,LOC   ,SOC   ,Chairs ,Organisation                                                     ,Country      ,Title                                                                                                                                                                                          , ,Abstract
Yueh-Ning          ,Lee             ,2026-03-20  ,12:00 - 12:25 ,True        ,False ,True  ,False  ,National Taiwan Normal University                                ,Taiwan       ,A new model proposition on streamers around class 0/I disks                                                                                                                                    , ,
Elena              ,Lega            ,2026-03-19  ,09:50 - 10:15 ,True        ,False ,False ,False  ,CNRS                                                             ,France       ,Circumplaneyary versu protoplanetary disk formation.                                                                                                                                           , ,
Marius             ,Lehmann         ,2026-03-19  ,15:45 - 16:10 ,True        ,False ,False ,False  ,Iowa State University                                            ,USA          ,Hydrodynamic Turbulence as a Migration Brake for Low-Mass Planets in Protoplanetary Disks                                                                                                      , ,
Nikita             ,Lileiko         ,2026-03-20  ,11:20 - 11:35 ,True        ,False ,False ,False  ,Tohoku University                                                ,Japan        ,The impact of non-ideal MHD effects on stellar multiplicity                                                                                                                                    , ,
Min-Kai            ,Lin             ,2026-03-16  ,10:15 - 10:40 ,True        ,False ,False ,False  ,ASIAA                                                            ,Taiwan       ,From order to chaos and back to planets                                                                                                                                                        , ,
Nai-Chieh Daniel   ,Lin             ,2026-03-20  ,11:05 - 11:20 ,True        ,True  ,False ,False  ,CRAL - ENS de Lyon                                               ,France       ,TBD                                                                                                                                                                                            , ,
Maxime             ,Lombart         ,2026-03-17  ,14:50 - 15:15 ,True        ,False ,False ,False  ,CEA/Paris-Saclay                                                 ,France       ,Dust size distribution evolution in 3D simulations of protostellar collapse                                                                                                                    , ,
Elliot             ,Lynch           ,2026-03-17  ,09:50 - 10:15 ,True        ,False ,False ,False  ,CRAL - ENS de Lyon/Institute of Science Tokyo                    ,France       ,Fluid Dynamics of Quasi-Spherical Flows                                                                                                                                                        , ,
Wladimir           ,Lyra            ,2026-03-18  ,14:25 - 14:50 ,True        ,False ,False ,False  ,New Mexico State University                                      ,USA          ,TBD                                                                                                                                                                                            , ,
Alexander          ,Mayer           ,2026-03-19  ,14:50 - 15:15 ,True        ,False ,False ,False  ,Max-Planck-Institute for Astrophysics                            ,Germany      ,Formation of protostellar disks in the turbulent and magnetized ISM                                                                                                                            , ,
Heloise            ,Meheut          ,2026-03-20  ,09:00 - 09:25 ,True        ,False ,False ,False  ,Lagrang - CNRS                                                   ,France       ,"Turbulence in disks, particle dynamics and planetesimal formation                                                                                                                           " , ,
Farzana            ,Meru            ,2026-03-17  ,09:25 - 09:50 ,True        ,False ,False ,False  ,University of Warwick                                            ,UK           ,Dust evolution and retention in young self-gravitating discs                                                                                                                                   , ,
Riouhei            ,Nakatani        ,2026-03-18  ,09:25 - 09:50 ,True        ,False ,False ,False  ,University of Milan                                              ,Italy        ,Stellar Evolution Effects on Disk Dispersal                                                                                                                                                    , ,
Erika              ,Nishio          ,2026-03-18  ,16:10 - 16:25 ,True        ,False ,False ,False  ,Tohoku University                                                ,Japan        ,Cosmic-Ray Ionization Rate in Young Protoplanetary Disks obtained from Particle Tracing Simulations                                                                                            , ,
Sijme-Jan          ,Paardekooper    ,2026-03-19  ,11:10 - 11:35 ,True        ,False ,False ,False  ,Delft University of Technology                                   ,Netherlands  ,A polydisperse view on dust evolution                                                                                                                                                          , ,
Marco              ,Padovani        ,2026-03-17  ,11:35 - 12:00 ,True        ,False ,False ,False  ,"INAF-Osservatorio Astrofisico di Arcetri, Firenze, Italy      " ,Italy        ,Cosmic-ray signatures in the interstellar medium from large to small scales                                                                                                                    , ,
