Firstname          ,Lastname        ,Participant ,LOC   ,SOC   ,Chairs ,Organisation                                                  ,Country      ,Title                                                                                                                                                                                        ,talkTime
Elliot             ,Lynch           ,True        ,False ,False ,False  ,CRAL - ENS de Lyon/Institute of Science Tokyo                 ,France       ,Fluid Dynamics of Quasi-Spherical Flows                                                                                                                                                      ,TBD
Wladimir           ,Lyra            ,True        ,False ,False ,False  ,New Mexico State University                                   ,USA          ,TBD                                                                                                                                                                                          ,TBD
Alexander          ,Mayer           ,True        ,False ,False ,False  ,Max-Planck-Institute for Astrophysics                         ,Germany      ,Formation of protostellar disks in the turbulent and magnetized ISM                                                                                                                          ,TBD
Heloise            ,Meheut          ,True        ,False ,False ,False  ,Lagrang - CNRS                                                ,France       ,"Turbulence in disks, particle dynamics and planetesimal formation"                                                                                                                          ,TBD
Farzana            ,Meru            ,True        ,False ,False ,False  ,University of Warwick                                         ,UK           ,Dust evolution and retention in young self-gravitating discs                                                                                                                                 ,TBD
Riouhei            ,Nakatani        ,True        ,False ,False ,False  ,University of Milan                                           ,Italy        ,Stellar Evolution Effects on Disk Dispersal                                                                                                                                                  ,TBD
Erika              ,Nishio          ,True        ,False ,False ,False  ,Tohoku University                                             ,Japan        ,Cosmic-Ray Ionization Rate in Young Protoplanetary Disks obtained from Particle Tracing Simulations                                                                                          ,TBD
Sijme-Jan          ,Paardekooper    ,True        ,False ,False ,False  ,Delft University of Technology                                ,Netherlands  ,A polydisperse view on dust evolution                                                                                                                                                        ,TBD
Marco              ,Padovani        ,True        ,False ,False ,False  ,"INAF-Osservatorio Astrofisico di Arcetri, Firenze, Italy   " ,Italy        ,Cosmic-ray signatures in the interstellar medium from large to small scales                                                                                                                  ,TBD
Tyger              ,Peak            ,True        ,False ,False ,False  ,Queen Mary University of London                               ,UK           ,Beyond vanilla external photoevaporation: What processes sculpt the Trumpler 14 proplyds?Cosmic-Ray Ionization Rate in Young Protoplanetary Disks obtained from Particle Tracing Simulations
Lin                ,Qiao            ,True        ,False ,False ,False  ,Queen Mary University of London                               ,UK          ,Multi-planet formation in stellar cluster environments                                                                                                                                                                                          ,TBD
Louca              ,Romain          ,True        ,True  ,False ,False  ,CRAL - ENS de Lyon                                            ,France       ,TBD                                                                                                                                                                                          ,TBD
Eleftheria         ,Sarafidou       ,True        ,False ,False ,False  ,Queen Mary University London                                  ,UK           ,Transition disks and Hall - MHD                                                                                                                                                              ,TBD
Nadine             ,Soliman         ,True        ,False ,False ,False  ,Institute for Advanced Study                                  ,USA          ,Star Formation Across Five Orders of Magnitude: Linking Giant Molecular Clouds and Circumstellar Disks                                                                                       ,TBD
Alice              ,Somigliana      ,True        ,False ,False ,False  ,MPIA                                                          ,Germany      ,From star-forming clumps to populations of protoplanetary discs                                                                                                                              ,TBD
Shinsuke           ,Takasao         ,True        ,False ,False ,False  ,Musashino Art University                                      ,Japan        ,Stellar scale processes and impacts on disk evolution (TBD)                                                                                                                                  ,TBD
Kengo              ,Tomida          ,True        ,False ,True  ,True   ,Tohoku University                                             ,Japan        ,TBD                                                                                                                                                                                          ,TBD
Valentin           ,Vallucci-Goy    ,True        ,False ,False ,False  ,ICE-CSIC                                                      ,Argentina    ,When two grains collide: on the importance of dust dynamics and evolution for star and planet formation                                                                                      ,TBD
Gabriel            ,Verrier         ,True        ,False ,False ,False  ,CEA Paris-Saclay                                              ,France       ,Dust dynamics at the early stages of star and planet formation: analytical and numerical multifluid methods                                                                                  ,TBD
Eduard             ,Vorobyov        ,True        ,False ,False ,False  ,The University of Innsbruck                                   ,Austria      ,Evolution of masses and sizes of self-gravitating protoplanetary disks. Insights from hydrodynamic modeling with magnetic disk winds                                                         ,TBD
Joe                ,Williams        ,True        ,False ,False ,False  ,University of Exeter                                          ,UK           ,Building Planetesimals Around (Sub-)Solar Stars: from Cloud Collapse to Disc                                                                                                                 ,TBD
Wenrui             ,Xu              ,True        ,False ,False ,False  ,N/A                                                           ,N/A          ,N/A                                                                                                                                                                                          ,TBD
Ziyan              ,Xu              ,True        ,False ,False ,False  ,University of Copenhagen                                      ,Denmark      ,Dust Evolution in Multiple Planet Formation Processes                                                                                                                                        ,TBD
Chao-Chin          ,Yang            ,True        ,False ,False ,False  ,The University of Alabama                                     ,USA          ,Dust-gas dynamics in protoplanetary disks with Athena++                                                                                                                                      ,TBD
